Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate Occupied Floor Area (%),Site Heated Volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable (%),Un-utilised Space (%),Available beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Occupied beds (No.),Age Profile - 2005 to present (%),Age Profile - 1995 to 2004 (%),Age Profile - 1985 to 1994 (%),Age Profile - 1975 to 1984 (%),Age Profile - 1965 to 1974 (%),Age Profile - 1955 to 1964 (%),Age Profile - 1948 to 1954 (%),Age Profile - pre 1948 (%),Age Profile - Total (must equal 100%) (%),Cost to eradicate High Risk Backlog (£),Cost to eradicate Significant Risk Backlog (£),Cost to eradicate Moderate Risk Backlog (£),Cost to eradicate Low Risk Backlog (£),Risk Adjusted Backlog Cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity Consumed - Utility (kWh),Gas Consumed - Utility (kWh),Oil  Consumed - Utility (kWh),Coal Consumed - Utility (kWh),Electricity Consumed - Local (kWh),Steam Consumed - Local (kWh),Hot Water Consumed - Local (kWh),Electricity Consumed - Renewable (kWh),Non-fossil fuel Consumed - Renewable (kWh),"Total Energy Cost (all energy supplies, utility, local & renewable) (£)",Water volume (including Borehole) (m³),Water and Sewage Cost (£),High Temperature Disposal Waste Weight (Tonnes),High Temperature Disposal Waste Cost (£),Total Waste Cost (£),Non Burn Treatment (Alternative Treatment Plant) Disposal Waste Weight (Tonnes),Landfill Disposal Waste Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Weight (Tonnes),Waste Electrical and Electronic Equipment (WEEE) Cost (£),Waste recovery/recycling volume (%),Waste recovery/recycling cost (%),Visitor/Staff concession scheme provided (Yes/No),Total parking spaces available (No.),Average fee charged per hour for patient/visitor parking (£),Total disabled parking spaces (No.),Total parking spaces available for patients/visitors (No.),Average fee charged per hour for Staff parking (£),Total parking spaces available for staff (No.)
5CN,HEREFORDSHIRE PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CN04,LEOMINSTER COMMUNITY HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,1794.00,1774.00,100.00,4664.00,1500.00,0.49,1315.00,320.00,0.00,0.00,34.00,3.00,1.00,33.00,10.00,0.00,75.00,0.00,0.00,0.00,0.00,15.00,100.00,0.00,65862.00,59904.00,3723.00,71651.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195923.00,369305.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30091.00,2403.00,6285.00,10.40,5842.00,7989.00,0.00,28.60,0.00,0.00,4.00,0.00,No,51.00,0.00,4.00,30.00,0.00,21.00
5CN,HEREFORDSHIRE PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CN10,BROMYARD COMMUNITY HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,2535.00,2500.00,80.00,5100.00,2631.00,0.95,1614.00,690.00,0.00,0.00,24.00,1.00,1.00,20.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,22620.00,62085.00,25604.00,51674.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252919.00,847782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49317.00,2846.00,7799.00,9.28,5213.00,7360.00,0.00,28.60,0.00,0.00,3.70,0.00,No,32.00,0.00,4.00,20.00,0.00,12.00
5CN,HEREFORDSHIRE PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CN15,ROSS COMMUNITY HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,2750.00,2700.00,100.00,7217.00,1340.00,0.75,1928.00,550.00,0.00,0.00,32.00,2.00,4.00,31.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,10.00,100.00,0.00,36360.00,26139.00,6360.00,43688.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254578.00,422084.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38369.00,2431.00,6662.00,13.90,7809.00,10386.00,0.00,34.32,0.00,0.00,3.00,0.00,No,78.00,0.00,2.00,50.00,0.00,28.00
5CN,HEREFORDSHIRE PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CN52,HILLSIDE CENTRE FOR INTERMEDIATE CARE,SHORT TERM NON-ACUTE HOSPITAL,1216.00,1192.00,100.00,2980.00,1414.00,0.38,803.00,313.00,0.00,0.00,22.00,22.00,0.00,20.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,11400.00,8520.00,3385.00,15211.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83810.00,363616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19136.00,1640.00,4495.00,2.28,1280.00,2998.00,0.00,22.88,0.00,0.00,5.00,0.00,No,20.00,0.00,1.00,6.00,0.00,14.00
5CN,HEREFORDSHIRE PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CN55,STONEBOW UNIT,SHORT TERM NON-ACUTE HOSPITAL,3438.00,3310.00,100.00,8275.00,2400.00,0.80,2298.00,381.00,0.00,0.00,56.00,9.00,28.00,43.00,3.00,5.00,92.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,51167.00,60640.00,14220.00,68419.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167340.00,0.00,1114094.00,0.00,0.00,0.00,0.00,0.00,0.00,82919.00,3946.00,10814.00,3.46,1943.00,5379.00,0.00,45.76,0.00,0.00,4.00,0.00,No,36.00,0.00,1.00,0.00,0.00,36.00
5CN,HEREFORDSHIRE PCT,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10086.00,10086.00,95.00,25215.00,8455.00,4.52,3853.00,5352.00,0.00,0.00,21.00,0.00,18.00,16.00,9.00,13.00,2.00,3.00,2.00,45.00,0.00,26.00,100.00,4920.00,155472.00,282702.00,73959.00,247320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,728842.00,1918279.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124453.00,5597.00,13762.00,14.36,8067.00,16025.00,0.00,104.10,0.00,0.00,4.80,0.00,No,325.00,0.00,18.00,100.00,0.00,225.00
5CQ,MILTON KEYNES PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CQ04,BLETCHLEY COMMUNITY HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,3082.00,3082.00,100.00,8014.00,3082.00,1.58,462.00,2620.00,100.00,20.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,76.00,0.00,0.00,0.00,100.00,0.00,0.00,217224.00,1401120.00,48990.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152455.00,633778.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36194.00,0.00,0.00,0.35,2206.00,2206.00,0.00,0.00,0.00,0.00,0.00,0.00,No,70.00,0.00,7.00,70.00,0.00,0.00
5CQ,MILTON KEYNES PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CQ10,CAMPBELL CENTRE,MULTI-SERVICE HOSPITAL,2103.00,2103.00,100.00,5258.00,2103.00,1.22,1577.00,526.00,0.00,0.00,38.00,25.00,0.00,32.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,34776.00,0.00,1213200.00,68903.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246672.00,890806.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39592.00,2767.00,4317.00,1.73,3004.00,3004.00,0.00,0.00,0.00,0.00,0.00,0.00,Yes,1700.00,1.00,70.00,1000.00,0.00,700.00
5CQ,MILTON KEYNES PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5CQ28,WATER EATON HEALTH CENTRE,TREATMENT CENTRE,682.00,682.00,100.00,1705.00,682.00,0.26,153.00,529.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,55152.00,257976.00,7304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52352.00,137956.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9927.00,130.00,289.00,2.56,5687.00,5687.00,0.00,0.00,0.00,0.00,0.00,0.00,No,24.00,0.00,0.00,18.00,0.00,6.00
5CQ,MILTON KEYNES PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,14349.00,13422.00,100.00,34907.00,10904.00,4.39,6152.00,8197.00,32.00,11.00,66.00,39.00,27.00,27.00,11.76,29.40,11.76,17.65,23.53,0.00,5.90,0.00,100.00,0.00,34200.00,1894076.00,2122511.00,171267.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,687804.00,2390736.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126287.00,9113.00,18814.00,49.40,63220.00,84183.00,0.00,0.00,0.00,0.00,0.00,0.00,No,3657.00,2.00,85.00,2160.00,0.00,1529.00
5D7,NEWCASTLE PCT,NORTH EAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,27399.00,24488.00,40.39,86310.00,15566.00,5.10,8439.00,16049.00,20.75,10.18,56.00,2.00,13.00,49.00,26.00,9.00,9.00,22.00,6.00,3.00,3.00,22.00,100.00,345600.00,625490.00,504440.00,208500.00,1270907.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3299515.00,4406689.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,458354.00,15599.00,54474.00,2.17,5014.00,81205.00,13.71,266.75,0.00,0.00,4.75,8.25,No,383.00,0.00,21.00,103.00,0.00,259.00
5D8,NORTH TYNESIDE PCT,NORTH EAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,10449.00,9430.00,67.36,27203.00,8697.00,4.79,4106.00,5324.00,24.26,15.05,25.00,15.00,0.00,22.00,30.00,5.00,5.00,25.00,10.00,15.00,0.00,10.00,100.00,105100.00,495832.00,157161.00,133605.00,612142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1203632.00,2538117.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193494.00,7100.00,35331.00,0.36,2149.00,45176.00,7.65,148.30,0.00,0.00,1.30,5.12,No,328.00,0.00,11.00,286.00,0.00,31.00
5D9,HARTLEPOOL PCT,NORTH EAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5D920,ONE LIFE HARTLEPOOL,COMMUNITY HOSPITAL,7142.00,7142.00,100.00,16861.00,3480.00,1.07,3819.00,2420.00,0.00,7.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,1.00,90.00,673114.00,334867.00,207992.00,0.00,0.00,468897.00,1537972.00,0.00,0.00,0.00,0.00,0.00,207992.00,0.00,65183.00,1535.00,5855.00,2.90,3302.00,5132.00,0.00,9.20,0.00,0.00,4.30,4.30,No,72.00,1.40,12.00,22.00,0.00,50.00
5D9,HARTLEPOOL PCT,NORTH EAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,5111.00,4015.00,35.23,13293.00,3710.00,0.66,2369.00,1894.00,38.00,0.00,0.00,0.00,0.00,0.00,32.89,18.94,6.18,6.26,30.35,4.46,0.00,0.92,100.00,0.00,119100.00,166580.00,516380.00,138330.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,520456.00,348669.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,128400.00,1216.00,7003.00,0.00,0.00,6419.00,2.95,0.00,1.98,2370.00,0.00,0.00,No,352.00,0.00,29.00,317.00,0.00,342.00
50.00,STOCKTON-ON-TEES TEACHING PCT,NORTH EAST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,16177.00,15139.00,39.80,41962.00,10650.00,2.26,8012.00,8165.00,21.12,4.51,0.00,0.00,0.00,0.00,52.65,3.12,8.08,0.27,29.70,2.78,0.00,3.40,100.00,0.00,121700.00,359250.00,922060.00,211193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,950685.00,821591.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,172586.00,5979.00,13676.00,0.00,0.00,9880.00,8.71,20.00,1.98,2370.00,0.00,0.00,No,681.00,0.00,22.00,662.00,0.00,666.00
5EF,NORTH LINCOLNSHIRE PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,7545.00,7545.00,93.12,21895.00,6371.00,2.08,945.00,5772.00,2.49,0.00,0.00,0.00,0.00,0.00,4.54,13.64,27.28,4.54,4.54,4.54,4.54,36.38,100.00,0.00,0.00,0.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,571443.00,1119353.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99798.00,0.00,8578.00,12.00,18500.00,23750.00,0.00,8.00,0.00,0.00,0.00,0.00,No,175.00,0.00,15.00,115.00,0.00,103.00
5EM,NOTTINGHAM CITY PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,23630.00,23630.00,100.00,61082.00,17264.00,5.00,0.00,0.00,19.00,3.81,0.00,0.00,0.00,0.00,41.00,0.00,11.00,26.00,12.00,0.00,10.00,0.00,100.00,0.00,0.00,0.00,225000.00,150000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3841155.00,4854249.00,0.00,0.00,0.00,0.00,0.00,9508.00,349.00,424861.00,15634.00,50000.00,7.78,12268.00,29201.00,31.11,17.06,0.35,375.00,80.00,69.30,Yes,539.00,0.00,42.00,366.00,0.00,256.00
5ET,BASSETLAW PCT,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,9002.00,8867.00,78.70,26745.00,6477.00,3.24,2199.00,6668.00,0.00,1.60,6.00,6.00,0.00,4.00,51.00,5.00,2.00,6.00,5.00,0.00,0.00,31.00,100.00,0.00,1.00,101500.00,9100.00,5870.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,443099.00,1252327.00,31750.00,0.00,0.00,0.00,0.00,0.00,0.00,114960.00,1550.00,9848.00,1.38,3876.00,38525.00,5.89,51.40,0.00,0.00,4.00,0.00,No,434.00,0.00,26.00,287.00,0.00,153.00
5F1,PLYMOUTH TEACHING PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5F101,MOUNT GOULD HOSPITAL,MULTI-SERVICE HOSPITAL,20939.00,16308.00,78.00,54335.00,7425.00,5.97,4646.00,6576.00,2.00,0.00,124.00,40.00,17.00,113.00,34.40,5.18,10.36,10.36,24.16,5.18,0.00,10.36,Not Calculated,0.00,638819.00,245200.00,15280.00,899299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1137920.00,6165351.00,0.00,0.00,0.00,0.00,0.00,379307.00,0.00,199288.00,15205.00,47583.00,40.28,19864.00,42242.00,0.00,184.05,2.03,897.00,13.30,1.10,No,410.00,0.00,22.00,388.00,0.00,388.00
5F1,PLYMOUTH TEACHING PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5F103,PLYMPTON HOSPITAL,LONG STAY HOSPITAL,5593.00,5593.00,100.00,13878.00,3800.00,1.31,1309.00,2836.00,20.00,8.00,38.00,0.00,18.00,31.00,0.00,28.26,0.00,0.00,71.74,0.00,0.00,0.00,Not Calculated,0.00,240382.00,0.00,0.00,240382.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190721.00,980361.00,0.00,0.00,0.00,0.00,0.00,63574.00,0.00,83712.00,6439.00,21080.00,10.23,6092.00,10407.00,0.00,44.30,0.00,0.00,13.30,1.10,No,54.00,0.00,3.00,51.00,0.00,51.00
5F1,PLYMOUTH TEACHING PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5F104,GABLES,LONG STAY HOSPITAL,727.00,727.00,100.00,2249.00,378.00,0.12,321.00,334.00,35.00,20.00,9.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,Not Calculated,0.00,39245.00,0.00,0.00,39245.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64388.00,0.00,107457.00,0.00,0.00,0.00,0.00,21463.00,0.00,17136.00,1017.00,1249.00,0.38,339.00,875.00,0.00,5.50,0.00,0.00,13.30,1.10,No,14.00,0.00,0.00,14.00,0.00,14.00
5F1,PLYMOUTH TEACHING PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5F110,LEE MILL,SPECIALIST HOSPITAL,996.00,996.00,100.00,3500.00,1056.00,4.09,454.00,272.00,0.00,0.00,12.00,12.00,0.00,12.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,23294.00,0.00,23294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100608.00,272364.00,0.00,0.00,0.00,0.00,0.00,33536.00,0.00,22877.00,838.00,5163.00,0.16,152.00,1136.00,0.00,10.10,0.00,0.00,13.30,1.10,No,21.00,0.00,1.00,20.00,0.00,20.00
5F1,PLYMOUTH TEACHING PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5F115,GLENBOURNE,GENERAL ACUTE HOSPITAL,3580.00,3580.00,100.00,9159.00,1935.00,1.13,2535.00,336.00,30.00,20.00,49.00,2.00,15.00,49.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,12000.00,10000.00,22000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175559.00,735817.00,0.00,0.00,0.00,0.00,0.00,58520.00,0.00,61201.00,2954.00,5337.00,4.01,3376.00,6172.00,0.00,28.70,0.00,0.00,13.30,1.10,No,55.00,0.00,3.00,52.00,0.00,52.00
5F1,PLYMOUTH TEACHING PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,21169.00,21169.00,100.00,62146.00,15684.00,9.22,5734.00,11751.00,24.70,12.35,9.00,0.00,9.00,9.00,26.17,22.32,12.09,7.37,16.09,7.37,0.00,8.59,100.00,0.00,579598.00,241429.00,20837.00,841864.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1646707.00,2853614.00,0.00,0.00,0.00,0.00,0.00,548902.00,0.00,292394.00,11924.00,49409.00,22.76,16757.00,32801.00,0.00,158.48,0.00,0.00,13.30,1.10,No,454.00,0.00,16.00,438.00,0.00,438.00
5F5,SALFORD PCT,NORTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,37975.00,34729.00,0.00,94652.00,17260.00,5.33,16262.00,18467.00,0.00,1.90,0.00,0.00,0.00,0.00,34.94,7.37,9.82,25.61,13.48,2.64,0.00,6.14,100.00,237000.00,1166000.00,725000.00,368000.00,1402000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18429628.00,4564974.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,307943.00,10757.00,76658.00,20.89,43476.00,85000.00,0.00,0.00,0.00,0.00,0.00,0.00,No,692.00,0.00,38.00,241.00,0.00,413.00
5F7,STOCKPORT PCT,NORTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,22633.00,19239.00,90.00,57717.00,26028.00,2.60,19238.00,3394.00,0.00,25.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,100.00,0.00,0.00,820000.00,950000.00,1310000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12926.00,10351.00,921.00,0.00,0.00,0.00,0.00,0.00,0.00,479327.00,15321.00,70712.00,60.00,39215.00,75775.00,0.00,195.00,0.00,0.00,0.00,0.00,No,1050.00,0.00,120.00,920.00,1.00,130.00
5FE,PORTSMOUTH CITY TEACHING PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5FE11,ST. JAMES HOSPITAL,LONG STAY HOSPITAL,31214.00,31035.00,99.00,81680.00,22435.00,21.17,8071.00,20939.00,25.00,10.00,153.00,106.00,25.00,129.00,1.00,2.00,1.00,0.00,1.00,10.00,10.00,75.00,100.00,620028.00,998853.00,628674.00,4646954.00,1934220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2604134.00,7619654.00,218600.00,0.00,0.00,0.00,0.00,0.00,0.00,448974.00,31991.00,69334.00,216.64,39617.00,49675.00,0.00,3.86,2.87,2996.00,98.53,98.68,No,617.00,0.00,38.00,609.00,0.00,612.00
5FE,PORTSMOUTH CITY TEACHING PCT,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,48627.00,30702.00,86.00,134574.00,28810.00,14.22,17367.00,31580.00,32.00,14.49,39.00,6.00,29.00,39.00,18.03,10.23,5.67,20.00,14.42,11.62,2.37,17.66,100.00,85265.00,298225.00,464647.00,3227703.00,726797.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2381190.00,5202795.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,419200.00,15028.00,50301.00,254.23,74823.00,81865.00,0.00,0.00,1.51,1193.00,100.00,100.00,No,688.00,1.33,61.00,451.00,0.00,410.00
5FL,BATH AND NORTH EAST SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5FL29,PAULTON MEMORIAL HOSPITAL,COMMUNITY HOSPITAL,1788.00,1788.00,0.00,4919.00,1616.00,0.99,1191.00,411.00,0.00,0.00,28.00,2.00,3.00,28.00,0.00,0.00,60.00,0.00,0.00,40.00,0.00,0.00,100.00,0.00,0.00,0.00,107135.00,5356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313156.00,780471.00,0.00,0.00,0.00,0.00,0.00,31389.00,0.00,44643.00,2391.00,7005.00,0.81,734.00,16276.00,7.51,514.80,0.00,0.00,10.37,5.15,No,84.00,0.00,4.00,62.00,0.00,22.00
5FL,BATH AND NORTH EAST SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5FL32,ST MARTIN'S HOSPITAL,COMMUNITY HOSPITAL,8049.00,7507.00,0.00,18438.00,3831.00,5.06,2052.00,5111.00,0.00,0.00,31.00,1.00,4.00,31.00,0.00,0.00,0.00,42.00,0.00,0.00,0.00,58.00,100.00,0.00,0.00,0.00,280123.00,14006.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1082707.00,2761563.00,0.00,0.00,0.00,0.00,0.00,108056.00,0.00,141283.00,7414.00,24604.00,0.34,262.00,17696.00,15.86,56.74,1.66,219.00,43.33,28.99,No,225.00,0.00,18.00,28.00,0.00,197.00
5FL,BATH AND NORTH EAST SOMERSET PCT,SOUTH WEST STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,2390.00,2390.00,0.00,4221.00,725.00,1.12,880.00,1109.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,30.00,0.00,0.00,5.00,0.00,0.00,100.00,0.00,0.00,0.00,46600.00,3106.00,2.00,30.00,408339.00,227734.00,108246.00,0.00,0.00,433807.00,485235.00,0.00,0.00,0.00,0.00,0.00,37500.00,0.00,56706.00,4570.00,9178.00,0.17,1555.00,12710.00,2.25,400.40,0.00,0.00,19.87,13.68,No,105.00,0.00,7.00,51.00,0.00,54.00
5GC,LUTON TEACHING PCT,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,12800.00,11710.00,44.70,35200.00,6386.00,1.88,7258.00,4452.00,8.00,9.00,0.00,0.00,0.00,0.00,0.00,12.00,10.00,37.00,6.00,21.00,0.00,14.00,100.00,0.00,96250.00,312706.00,283724.00,129037.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1029844.00,2107989.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,223744.00,4593.00,13702.00,26.40,46936.00,68004.00,0.00,60.50,1.50,400.00,19.80,32.72,No,150.00,0.00,14.00,69.00,0.00,67.00
5H1,HAMMERSMITH AND FULHAM PCT,LONDON STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,11907.00,10913.00,45.00,28646.00,4585.00,1.25,8021.00,3437.00,0.00,9.40,0.00,0.00,0.00,0.00,6.30,0.00,12.50,25.00,0.00,12.50,6.20,37.50,100.00,0.00,0.00,110929.00,69110.00,8137.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1066950.00,1639577.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160138.00,4020.00,8125.00,3.71,2227.00,22384.00,10.00,354.58,0.00,0.00,0.00,0.00,No,52.00,0.00,5.00,0.00,0.00,47.00
5H8,ROTHERHAM PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,5H8PE,PLD BADSLEY MOOR LANE,NON-HOSPITAL (PATIENT),5846.00,5846.00,42.50,15784.00,2846.00,2.63,4646.00,1200.00,0.00,0.00,28.00,28.00,0.00,18.00,57.50,42.50,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,588055.00,1287222.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113054.00,8056.00,27008.00,1.38,1080.00,4344.00,0.00,14.00,0.00,0.00,9.40,8.00,No,137.00,0.00,14.00,137.00,0.00,137.00
5H8,ROTHERHAM PCT,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,PRIMARY CARE TRUST,AGGRE,AGGREGATE SITE,AGGREGATE SITE,15386.00,15102.00,32.00,41451.00,10406.00,4.42,10417.00,4969.00,0.00,1.50,0.00,0.00,0.00,0.00,32.80,30.50,2.30,9.20,8.60,10.50,1.50,4.60,100.00,0.00,7000.00,120000.00,80000.00,35000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2035000.00,2996388.00,98333.00,0.00,0.00,0.00,0.00,0.00,0.00,344829.00,7688.00,18403.00,7.74,7444.00,143520.00,13.90,420.00,1.70,240.00,5.50,1.40,No,599.00,0.00,31.00,460.00,0.00,537.00
