Organisation Code,Organisation Name,Commissioning Region,Organisation Type,Site Code,Site Name,Site Type,Gross internal site floor area (m²),Occupied floor area (m²),NHS estate occupied floor area (%),Site heated volume (m³),Site footprint (m²),Site land area (Hectare),Patient occupied floor area (m²),Non-patient occupied floor area (m²),Not functionally suitable - occupied floor area (%),Not functionally suitable - patient occupied floor area (%),Un-utilised space (%),Available beds (No.),Occupied beds (No.),Single bedrooms for patients with en-suite facilities (No.),Single bedrooms for patients without en-suite facilities (No.),Age profile - 2005 to present (%),Age profile - 1995 to 2004 (%),Age profile - 1985 to 1994 (%),Age profile - 1975 to 1984 (%),Age profile - 1965 to 1974 (%),Age profile - 1955 to 1964 (%),Age profile - 1948 to 1954 (%),Age profile - pre 1948 (%),Age profile - total (must equal 100%) (%),Cost to eradicate high risk backlog (£),Cost to eradicate significant risk backlog (£),Cost to eradicate moderate risk backlog (£),Cost to eradicate low risk backlog (£),Risk adjusted backlog cost (£),Number of CHP units operated on the site (No.),Total full load rating of the electrical generator plant (kW),Total fossil energy input to the CHP system/s (kWh),Total thermal energy output of the CHP system/s (kWh),Total electrical energy output of the CHP system/s (kWh),Total exported electricity for the site (kWh),Total exported thermal energy for the site (kWh),Electricity consumed - utility (kWh),Gas consumed - utility (kWh),Oil consumed - utility (kWh),Coal consumed - utility (kWh),Electricity consumed - local (kWh),Steam consumed - local (kWh),Hot water consumed - local (kWh),Electricity consumed - renewable (kWh),Non-fossil fuel consumed - renewable (kWh),"Total energy cost (all energy supplies, utility, local and renewable) (£)",Water volume (including borehole) (m³),Water and sewage cost (£),High temperature disposal waste weight (Tonnes),Total waste cost (£),Non burn treatment (alternative treatment plant) disposal waste weight (Tonnes),Landfill disposal waste weight (Tonnes),Waste electrical and electronic equipment (WEEE) weight (Tonnes),Preparing for re-use volume (Tonnes),Other recovery volume (Tonnes),Waste recycling volume (Tonnes),"Waste recycling, recovery and preparing for re-use cost (£)",Patient/visitor concession scheme provided (Yes/No/None),Total parking spaces available (No.),Designated parking spaces available for patients/visitors (No.),Designated disabled parking spaces (No.),Designated parking spaces available for staff (No.),Average fee charged per hour for patient/visitor parking (£),Average fee charged per hour for Staff parking (£),Do you charge for disabled parking (Yes/No/None),Cost of feeding one in-patient per day (in-patient meal day) (£),Ward food waste - unserved meals (%),Total in-patient main meals requested (No.),Gross cost of in-patient services (£)
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A49,HILL CREST MH UNIT,SHORT TERM NON-ACUTE HOSPITAL,2409.00,2409.00,100.00,5875.00,2213.00,1.92,1462.00,730.00,10.00,10.00,7.76,18.00,16.00,4.00,4.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,332878.00,785984.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58314.00,1990.00,4692.00,0.21,1960.00,0.00,7.23,0.00,0.00,0.00,2.94,523.00,No,58.00,32.00,4.00,22.00,0.00,0.00,No,14.61,0.00,17796.00,86649.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1A59,KIDDERMINSTER HEALTH CENTRE,TREATMENT CENTRE,1880.00,1880.00,100.00,4511.00,1456.00,0.67,414.00,981.00,70.00,70.00,13.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,40715.00,513294.00,217956.00,64304.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273654.00,0.00,0.00,0.00,0.00,0.00,166410.00,0.00,33828.00,1495.00,8613.00,2.40,10208.00,0.00,11.72,0.00,0.00,0.00,6.23,2452.00,No,54.00,0.00,2.00,52.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AA2,ELGAR ANNEXE WORKSHOPS,TREATMENT CENTRE,613.00,613.00,100.00,1685.00,642.00,0.11,473.00,23.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,3907.00,102053.00,62733.00,24505.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129576.00,0.00,0.00,0.00,0.00,0.00,24390.00,0.00,13633.00,106.00,2601.00,0.00,490.00,0.00,1.86,0.00,0.00,0.00,0.90,212.00,No,8.00,4.00,1.00,3.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAG,MOOR STREET CLINIC,TREATMENT CENTRE,834.00,834.00,100.00,2168.00,248.00,0.07,441.00,255.00,65.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,514.00,126809.00,96872.00,8503.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131333.00,0.00,0.00,0.00,0.00,0.00,95779.00,0.00,17026.00,249.00,1556.00,3.77,5396.00,0.00,8.53,0.00,0.00,0.00,0.95,845.00,No,16.00,9.00,1.00,6.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAH,EVESHAM MEDICAL CENTRE,TREATMENT CENTRE,681.00,681.00,100.00,1904.00,66.00,0.01,258.00,255.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25939.00,95101.00,0.00,0.00,0.00,0.00,0.00,29884.00,0.00,15575.00,206.00,1642.00,0.00,6667.00,0.00,16.59,0.00,0.00,0.00,0.28,290.00,No,0.00,0.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAN,TENBURY COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,1969.00,1969.00,100.00,5902.00,1847.00,0.39,1182.00,591.00,5.00,5.00,0.00,17.00,15.00,3.00,0.00,29.75,0.00,0.00,0.00,0.00,0.00,0.00,70.25,100.00,0.00,4626.00,166165.00,110792.00,20918.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215398.00,799704.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45387.00,1953.00,6961.00,1.93,7797.00,0.00,17.40,0.00,0.00,0.00,4.40,1448.00,No,52.00,30.00,4.00,18.00,0.00,0.00,No,15.99,2.00,16023.00,85403.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAT,MERRIMANS HILL MENTAL HEALTH RESOURCE CENTRE,TREATMENT CENTRE,578.00,578.00,100.00,1517.00,317.00,0.13,12.00,438.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,1542.00,1327.00,21098.00,2562.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76512.00,0.00,0.00,0.00,0.00,0.00,20480.00,0.00,5748.00,248.00,726.00,0.02,654.00,0.00,1.86,0.00,0.00,0.00,0.90,212.00,No,19.00,10.00,2.00,7.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1AAV,CROMWELL HOUSE,SHORT TERM NON-ACUTE HOSPITAL,436.00,436.00,100.00,1059.00,170.00,0.50,335.00,22.00,0.00,0.00,0.00,10.00,9.00,0.00,10.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108712.00,0.00,0.00,0.00,0.00,0.00,37426.00,0.00,9813.00,616.00,1145.00,0.00,948.00,0.00,0.99,0.00,0.00,0.00,1.43,805.00,No,5.00,1.00,1.00,3.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACC,NEW HAVEN,TREATMENT CENTRE,2611.00,2611.00,100.00,6136.00,1650.00,1.09,1683.00,636.00,0.00,0.00,0.00,21.00,19.00,21.00,0.00,44.95,0.00,55.05,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406347.00,678423.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56844.00,1713.00,5148.00,1.09,1679.00,0.00,6.37,0.11,0.00,0.00,4.15,802.00,No,4.00,2.00,0.00,2.00,0.67,0.00,No,14.88,3.00,20154.00,100017.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACD,CHURCHVIEW HOUSE,SHORT TERM NON-ACUTE HOSPITAL,642.00,642.00,100.00,1774.00,724.00,0.88,492.00,86.00,10.01,10.01,0.00,10.00,7.00,0.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,13879.00,31627.00,1379.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,302821.00,0.00,0.00,0.00,0.00,0.00,58040.00,0.00,20432.00,787.00,1944.00,2.73,1284.00,0.00,4.02,0.28,0.00,0.00,0.83,259.00,No,5.00,3.00,0.00,2.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACF,NEW BROOK,TREATMENT CENTRE,640.00,640.00,100.00,1774.00,702.00,0.65,85.00,472.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,2570.00,514.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155121.00,0.00,0.00,0.00,0.00,0.00,40058.00,0.00,16805.00,8.00,91.00,0.49,228.00,0.00,0.71,0.05,0.00,0.00,0.15,46.00,Yes,5.00,3.00,0.00,2.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACG,PRINCESS OF WALES HOSPITAL,SHORT TERM NON-ACUTE HOSPITAL,7425.00,7425.00,100.00,20989.00,4537.00,2.15,4246.00,2296.00,4.54,5.37,9.43,63.00,54.00,8.00,9.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,72108.00,182241.00,8771.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1351272.00,2256036.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,189031.00,5696.00,17118.00,24.65,11581.00,0.00,36.23,2.52,0.00,0.00,7.49,2338.00,Yes,227.00,146.00,13.00,120.00,0.67,0.00,Yes,11.18,5.00,55614.00,212894.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACM,"LUCY BALDWIN UNIT, (F BLOCK)",TREATMENT CENTRE,935.00,935.00,100.00,2618.00,975.00,0.10,142.00,518.00,0.00,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,2570.00,40610.00,878.00,4645.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26510.00,58135.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6975.00,323.00,1960.00,0.05,440.00,0.00,1.01,0.00,0.00,0.00,0.49,242.00,No,0.00,0.00,0.00,0.00,1.03,0.03,Yes,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACN,THE ROBERTSON CENTRE,SHORT TERM NON-ACUTE HOSPITAL,3367.00,2508.00,100.00,6286.00,1879.00,0.19,997.00,805.00,15.00,15.00,1.60,24.00,20.00,0.00,10.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,6169.00,574972.00,45963.00,44977.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535873.00,1175145.00,130.00,0.00,0.00,0.00,0.00,0.00,0.00,140993.00,6532.00,7190.00,1.03,7934.00,0.00,19.87,0.00,0.00,0.00,6.43,4960.00,Yes,24.00,13.00,2.00,9.00,1.03,0.03,Yes,10.02,8.00,25176.00,84142.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACW,PERSHORE HOSPITAL,COMMUNITY HOSPITAL,1995.00,1995.00,100.00,5006.00,309.00,0.14,1398.00,303.00,0.00,0.00,0.00,26.00,21.00,10.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,198963.00,389380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64795.00,1665.00,5095.00,1.60,6882.00,0.00,8.61,0.00,0.00,0.00,3.86,1983.00,No,15.00,13.00,2.00,0.00,1.00,0.00,Yes,12.99,1.00,23853.00,103359.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ACY,OSBORNE COURT,SHORT TERM NON-ACUTE HOSPITAL,1918.00,1918.00,100.00,3954.00,1685.00,0.82,1278.00,181.00,15.29,0.00,17.28,11.00,10.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,57574.00,133780.00,7175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,644004.00,0.00,0.00,0.00,0.00,0.00,128565.00,0.00,36888.00,1780.00,6125.00,0.08,4077.00,0.00,20.20,0.00,0.00,0.00,2.91,518.00,No,28.00,16.00,1.00,11.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADA,ROWAN HOUSE EMI FACILITY & DAY HOSPITAL,TREATMENT CENTRE,645.00,645.00,100.00,1728.00,701.00,0.27,120.00,429.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82672.00,0.00,0.00,0.00,0.00,0.00,40569.00,0.00,8514.00,205.00,701.00,0.04,643.00,0.00,1.82,0.00,0.00,0.00,0.88,208.00,No,26.00,16.00,0.00,0.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADC,MALVERN COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,5712.00,5712.00,100.00,7562.00,2566.00,1.12,2392.00,2771.00,0.00,0.00,20.00,24.00,23.00,10.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,258.00,13.00,1.00,33.00,234258.00,88025.00,100713.00,0.00,0.00,623904.00,1151895.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141805.00,4201.00,18017.00,3.80,15516.00,0.00,41.68,0.00,0.00,0.00,5.89,1793.00,No,114.00,75.00,10.00,29.00,0.40,0.00,Yes,12.67,2.00,25215.00,106477.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADJ,ISAAC MADDOX HOUSE,SUPPORT FACILITY,3446.00,3446.00,100.00,8614.00,1769.00,0.35,0.00,3143.00,20.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,39037.00,289822.00,238740.00,97767.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176286.00,43116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32665.00,1620.00,4006.00,0.00,13008.00,0.00,20.35,0.00,0.00,0.00,26.02,10511.00,No,60.00,0.00,0.00,60.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADW,ELGAR UNIT,SHORT TERM NON-ACUTE HOSPITAL,3286.00,3286.00,100.00,11587.00,3583.00,0.49,2236.00,717.00,0.00,0.00,7.20,23.00,19.00,9.00,7.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,5141.00,37145.00,64564.00,8648.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535974.00,2427966.00,2472.00,0.00,0.00,0.00,0.00,0.00,0.00,87578.00,11457.00,25217.00,0.29,5674.00,0.00,19.09,0.00,0.00,0.00,5.98,1899.00,Yes,72.00,43.00,0.00,29.00,1.03,0.03,Yes,10.75,7.00,20805.00,74562.00
R1A,WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1ADY,ACONBURY UNIT,SHORT TERM NON-ACUTE HOSPITAL,2838.00,2838.00,100.00,9137.00,1735.00,0.56,1839.00,504.00,30.00,30.00,10.10,18.00,17.00,0.00,18.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,52450.00,51868.00,88353.00,57285.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,462805.00,2096509.00,2134.00,0.00,0.00,0.00,0.00,0.00,0.00,75622.00,9893.00,21775.00,0.25,5954.00,0.00,16.49,0.00,0.00,0.00,5.04,2695.00,Yes,78.00,47.00,0.00,31.00,1.03,0.03,Yes,10.93,6.00,18615.00,67832.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,40822.00,39459.00,97.00,108365.00,30250.00,14.49,19662.00,19706.00,4.29,0.00,1.41,50.00,31.00,90.00,59.00,33.61,15.57,5.01,12.17,17.58,4.86,0.00,11.20,100.00,252319.00,637794.00,522018.00,892852.00,2297502.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2661229.00,6049540.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,542436.00,21241.00,54211.00,31.29,72105.00,0.00,0.00,1.48,0.00,129.17,67.44,30214.00,No,661.00,460.00,46.00,499.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1C03,WESTERN COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,3097.00,2802.00,55.00,7604.00,3097.00,1.60,1542.00,1260.00,0.00,0.00,0.00,37.00,20.00,2.00,35.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,214922.00,16170.00,231000.00,220415.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,462970.00,949965.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80042.00,2969.00,10127.00,2.79,18014.00,0.00,0.00,0.00,0.00,0.00,9.40,7127.00,No,84.00,84.00,3.00,31.00,0.00,0.00,No,7.65,0.61,12012.00,91892.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1C34,ROYAL SOUTH HANTS HOSPITAL,COMMUNITY HOSPITAL,9899.00,9675.00,33.00,28967.00,2682.00,1.67,3610.00,6066.00,0.00,0.00,0.00,67.00,67.00,11.00,0.00,0.00,0.00,0.00,53.00,24.00,0.00,0.00,23.00,100.00,337643.00,477754.00,147498.00,418891.00,823851.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1335202.00,1094097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253814.00,8663.00,28681.00,0.00,9122.00,0.00,0.00,0.00,0.00,0.00,0.00,6641.00,Yes,187.00,74.00,12.00,95.00,1.05,0.08,No,8.00,0.33,11154.00,89232.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1C46,ROMSEY HOSPITAL,COMMUNITY HOSPITAL,38.00,38.00,4.00,170.00,59.00,0.06,42.00,16.00,2.47,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00,7.00,709.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5108.00,17698.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1180.00,50.00,218.00,0.23,290.00,0.00,0.00,0.00,0.00,0.67,0.08,130.00,No,2.00,1.00,0.00,1.00,0.00,0.00,No,9.50,0.53,731.00,3995.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1C70,GOSPORT WAR MEMORIAL HOSPITAL,COMMUNITY HOSPITAL,382.00,381.00,3.00,954.00,259.00,0.08,281.00,69.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,40.00,100.00,0.00,0.00,2534.00,197.00,81.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31445.00,81749.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4372.00,367.00,1204.00,1.25,1009.00,0.00,0.00,0.00,0.00,2.77,0.10,495.00,No,7.00,3.00,1.00,4.00,0.50,0.02,No,8.50,0.30,2689.00,12978.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1CD4,ST MARY'S COMMUNITY HEALTH CAMPUS,COMMUNITY HOSPITAL,6393.00,5077.00,35.00,17064.00,1704.00,1.32,2582.00,2389.00,15.42,0.00,15.42,7.00,7.00,6.00,0.00,0.00,0.00,20.00,0.00,80.00,0.00,0.00,0.00,100.00,0.00,7069.00,68268.00,56550.00,9842.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,483141.00,839611.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98556.00,14694.00,49598.00,8.02,8047.00,0.00,0.00,0.03,0.00,24.67,6.49,6535.00,No,66.00,59.00,8.00,0.00,2.00,0.00,No,8.50,1.90,5538.00,38851.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1CD8,PETERSFIELD HOSPITAL,COMMUNITY HOSPITAL,105.00,105.00,2.00,261.00,70.00,0.02,73.00,24.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,34.00,599.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12143.00,34581.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2552.00,113.00,446.00,0.39,256.00,0.00,0.00,0.00,0.00,0.51,0.09,102.00,No,2.00,1.00,0.00,1.00,0.50,0.00,No,8.50,0.30,842.00,3995.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1CF2,ST JAMES HOSPITAL,COMMUNITY HOSPITAL,8693.00,7387.00,23.00,22503.00,6013.00,5.67,2787.00,4599.00,1.11,0.00,2.78,7.00,6.00,0.00,5.00,1.00,2.00,1.00,0.00,1.00,10.00,10.00,75.00,100.00,0.00,58531.00,132821.00,163718.00,62957.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,438115.00,1428223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108608.00,4903.00,18569.00,2.90,6033.00,0.00,0.00,0.60,0.00,24.00,10.13,4713.00,No,253.00,250.00,16.00,251.00,0.00,0.00,No,9.40,1.34,25680.00,180140.00
R1C,SOLENT NHS TRUST,SOUTH OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1CF4,FAREHAM COMMUNITY HOSPITAL,COMMUNITY HOSPITAL,222.00,222.00,8.00,534.00,239.00,0.11,177.00,37.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3390.00,0.00,108.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No,10.00,5.00,1.00,4.00,0.00,0.00,No,0.00,0.00,0.00,0.00
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,AGGRE,AGGREGATE SITE,AGGREGATE SITE,17287.00,16284.00,100.00,35134.00,9352.00,2.22,3724.00,12560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.42,15.65,32.49,6.40,10.47,10.39,0.00,8.18,100.00,0.00,43000.00,29000.00,215000.00,49100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,820050.00,960600.00,0.00,0.00,0.00,0.00,0.00,342100.00,0.00,112043.00,19780.00,31518.00,1.30,43176.00,8.70,104.00,0.00,0.00,0.00,15.50,23112.00,No,324.00,162.00,25.00,162.00,0.00,0.00,No,11.79,2.00,120811.00,477304.00
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,MIDLANDS AND EAST OF ENGLAND COMMISSIONING REGION,COMMUNITY,R1D21,LUDLOW HOSPITAL,COMMUNITY HOSPITAL,4832.00,3908.00,100.00,10004.00,2436.00,1.23,1900.00,2008.00,0.00,0.00,15.00,40.00,37.00,0.00,7.00,0.00,4.74,1.88,0.00,65.83,0.00,0.00,27.55,100.00,0.00,155000.00,125000.00,170000.00,162375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271400.00,1410500.00,0.00,0.00,0.00,0.00,0.00,90450.00,0.00,78500.00,4680.00,12450.00,1.00,21750.00,17.08,35.50,1.00,0.00,0.00,23.00,9450.00,No,88.00,41.00,7.00,40.00,0.00,0.00,No,14.54,2.00,41382.00,200656.00
